"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"25-34","education (higher education)","LIBRARY EVENTS AND EXTERNAL RELATIONS ASSISTANT","",48929,NA,NA,"","","UNITED STATES","California","ORANGE","2 - 4 years","2 - 4 years","PhD","Woman","White"
"25-34","engineering or manufacturing","BIOPROCESS ENGINEER","",81291,4300,NA,"","","UNITED STATES","New York","ROCHESTER, NY","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"35-44","engineering or manufacturing","MANAGER ASSISTANT","",22400,600,NA,"","","GREECE",NA,"THESSALONIKI","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"35-44","recruitment or hr","HR MANAGER","",75000,0,NA,"","","UNITED STATES","New Hampshire","MANCHESTER","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","government and public administration","SENIOR COMMUNICATION SPECIALIST","",75000,0,NA,"","","UNITED STATES","Oregon","HILLSBORO","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","engineering or manufacturing","GRAPHIC DESIGNER","",44500,NA,NA,"","","UNITED STATES","Illinois","LAKE FOREST","8 - 10 years",NA,"College degree","Woman","White"
"35-44","insurance","UNDERWRITING ASSISTANT","",20300,0,NA,"","","UNITED KINGDOM/UK",NA,"NOTTINGHAM","11 - 20 years","2 - 4 years","College degree","Woman","Another option not listed here or prefer not to answer"
"25-34","health care","PATIENT COORDINATOR/OFFICE MANAGER","",65000,5000,NA,"","","UNITED STATES","California","BEVERLY HILLS","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","media and digital","DIGITAL STRATEGY MANAGER","",65000,0,NA,"","","UNITED STATES","Texas","AUSTIN","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","media and digital","SENIOR DRAUGHTSPERSON","Film Art Department",83200,500,NA,"","Weekly income 1600, working contracts, no pay between contracts, no paid holiday","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","engineering or manufacturing","MECHANICAL ENGINEER","",77300,NA,NA,"","","UNITED STATES","Kentucky","ERLANGER","2 - 4 years","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"25-34","clinical research","ASSOCIATE PROJECT LEADER","",89000,0,NA,"","Contract/hourly rate, no pto","UNITED STATES","North Carolina","DURHAM","8 - 10 years",NA,"Master's degree","Woman","White"
"18-24","computing or tech","SOFTWARE ENGINEER","",135000,75000,NA,"","","UNITED STATES","California","MOUNTAIN VIEW","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"45-54","government and public administration","DIRECTOR","",100300,0,NA,"","","UNITED STATES","Tennessee","KNOXVILLE","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","PRODUCT MARKETING LEAD","",130000,10000,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","engineering or manufacturing","PROGRAM MANAGER","",157000,35000,NA,"","","UNITED STATES","New Jersey","REMOTE","8 - 10 years",NA,"Master's degree","Woman","White"
"55-64","insurance","ACCOUNT MANAGEMENT DIRECTOR","",160000,5000,NA,"","","UNITED STATES","New York","MELVILLE","21 - 30 years","11 - 20 years","College degree","Woman","Hispanic, Latino, or Spanish origin"
"35-44","government and public administration","HUMAN RESOURCES SPECIALIST","",66805,NA,NA,"","","UNITED STATES","Kansas","WICHITA","11 - 20 years","5-7 years","Some college","Woman","White"
"25-34","computing or tech","SENIOR BUSINESS ANALYST","Project work primarily focused on short term process improvement",76989,10000,NA,"","additional compensation has a base of 12% of annual wage; bonus is calculated based on performance and can be greater/lesser than amt quoted. Can also work paid overtime on occasion as business needs dictate but is rare. ","CANADA",NA,"CALGARY","11 - 20 years",NA,"College degree","Woman","White"
"35-44","affordable housing real estate development (nonprofit)","SENIOR PROJECT MANAGER","",144200,14420,NA,"","","UNITED STATES","California","LOS ANGELES","11 - 20 years","11 - 20 years","Master's degree","Woman","Black or African American"
"35-44","","OFFICE MANAGER","manage a building vs managing employees",40000,NA,NA,"","","UNITED STATES","Nevada","LAS VEGAS","11 - 20 years","11 - 20 years","High School","Woman","White"
"35-44","computing or tech","NA","",1e+05,3000,NA,"","","UNITED STATES","New York","HICKSVILLE","11 - 20 years",NA,"College degree","Woman","Asian or Asian American"
"25-34","computing or tech","SENIOR DATA SCIENTIST","",160000,116000,NA,"","Most additional compensation in the form of equity","UNITED STATES","California","SAN FRANCISCO","2 - 4 years","2 - 4 years","PhD","Man","White"
"25-34","education (higher education)","ASSOCIATE DIRECTOR OF ALUMNI RELATIONS","",90000,NA,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","11 - 20 years","2 - 4 years","Master's degree","Woman","White"
"25-34","nonprofits","COMMUNICATIONS SPECIALIST","",90000,NA,NA,"","","AFRICA",NA,"AFRICA","5-7 years","5-7 years","Master's degree","Woman","Black or African American"
"35-44","nonprofits","SUPERVISOR","",54080,NA,NA,"","","UNITED STATES","Pennsylvania","PITTSBURGH","11 - 20 years",NA,"College degree","Woman","White"
"25-34","education (higher education)","STUDENT SUCCESS LIBRARIAN","",54000,NA,NA,"","","UNITED STATES","South Carolina","LARGE TOWN/SMALL CITY","5-7 years","5-7 years","Master's degree","Woman","White"
NA,"","","",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"",""
"35-44","utilities and telecommunications","VP FINANCE","",96000,2300,NA,"","","UNITED STATES","Pennsylvania","WELLSBORO","11 - 20 years","5-7 years","Master's degree","Woman","White"
"25-34","nonprofits","EXECUTIVE DIRECTOR","",74651,0,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","5-7 years","2 - 4 years","PhD","Non-binary","White"
"25-34","mining","CUSTOMER SERVICE REPRESENTATIVE","Work in commercial sales operations for sales and marketing team",59000,7000,NA,"","","UNITED STATES","Illinois","CHICAGO","2 - 4 years","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"35-44","education (primary/secondary)","DIRECTOR OF SPECIAL EDUCATION","",69000,0,NA,"","","UNITED STATES","Virginia","PEARISBURG","11 - 20 years","5-7 years","Master's degree","Woman","White"
"25-34","education (higher education)","ASSISTANT DIRECTOR","Frontline Fundraising Staff",64575,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","8 - 10 years",NA,"Master's degree","Man","White"
"35-44","government and public administration","BUDGET ANALYST","",83000,3000,NA,"","","UNITED STATES","New York","NYC","8 - 10 years","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"25-34","education (higher education)","ASSISTANT LIBRARIAN","",41428,0,NA,"","","IRELAND",NA,"DUBLIN","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"18-24","insurance","ADMINISTRATION","",42000,NA,NA,"","","UNITED STATES",NA,"NEW YORK","1 year or less","1 year or less",NA,"",""
"25-34","recruitment or hr","HR GENERALIST","",60000,NA,NA,"","","UNITED STATES","California","DIAMOND BAR","1 year or less","1 year or less","College degree","Woman","White"
"25-34","education (primary/secondary)","6-8 ENGLISH AS A SECOND LANGUAGE TEACHER","",49008,0,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","marketing, advertising and pr","DIGITAL MARKETING COORDINATOR","",46000,0,NA,"","","UNITED STATES","New Jersey","SPARTA","5-7 years","2 - 4 years","College degree","Non-binary","White"
"45-54","accounting, banking and finance","INSURANCE PRODUCT MANAGER","",32500,0,NA,"","Also £3600 General share allowance & 200 mgmt share scheme allowance, circa £9600 pre tax. Need to hold shares for 3 yrs, subject to tax & ni","UNITED KINGDOM/UK",NA,"CARDIFF","11 - 20 years","2 - 4 years","College degree","Woman","White"
"25-34","computing or tech","UX DESIGNER","Also known as product designer or UX/UI designer",145000,25000,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","College degree","Woman","Asian or Asian American"
"25-34","pharmaceutical research","SENIOR ANALYST","",42000,2000,NA,"","Gross income before taxes.","CANADA",NA,"MONTREAL","5-7 years","2 - 4 years","College degree","Woman","Black or African American"
"45-54","education (primary/secondary)","CHILDCARE WORKER","",33800,0,NA,"","","CANADA",NA,"EDMONTON","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","library","LIBRARIAN","",80000,1200,NA,"","","UNITED STATES","Colorado","BOULDER","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","nonprofits","PRODUCT MANAGER","Product Manager",68000,1000,NA,"","","UNITED STATES","Massachusetts","BOSTON, MA","8 - 10 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","nonprofits","COMMUNICATION ASSOCIATE","",44000,NA,NA,"","","UNITED STATES","Washington","SEATTLE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","engineering or manufacturing","AEROSPACE DESIGN ENGINEER","",77000,0,NA,"","","UNITED STATES","California","CAMARILLO","11 - 20 years","2 - 4 years","College degree","Man","White"
"35-44","computing or tech","SENIOR SOFTWARE DEVELOPER IN TEST","",117000,5800,NA,"","","UNITED STATES","Massachusetts","BOSTON","2 - 4 years","2 - 4 years","College degree","Woman","White"
"55-64","government and public administration","LIBRARY PROGRAM COORDINATOR","",51000,1200,NA,"","","UNITED STATES","Florida","TALLAHASSEE","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"35-44","accounting, banking and finance","TA","Tax preparer ",25000,5000,NA,"","Only work 3.5 months per year. jmJan 1 thru April 15","UNITED STATES","Indiana","NEW ALBANY","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","health care","PROJECT MANAGER","",95000,15000,NA,"","","UNITED STATES","Illinois","REMOTE","8 - 10 years",NA,"Some college","Woman","White"
"35-44","computing or tech","HEAD OF ENGINEERING","",220000,NA,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","education (primary/secondary)","HIGH SCHOOL TEACHER","",78000,0,NA,"","","UNITED STATES","California","SAN JOSE","11 - 20 years",NA,"College degree","Woman","White"
"35-44","computing or tech","PRODUCT DESIGN MANAGER","",250000,350000,NA,"","Stock, bonus ","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","College degree","Man","Asian or Asian American"
"45-54","retail","HR MANAGER","",110000,0,NA,"","","UNITED STATES","Texas","FORT WORTH","21 - 30 years","5-7 years","Some college","Woman","White"
"25-34","computing or tech","TECHNICAL WRITER","",90000,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON DC","5-7 years","5-7 years","College degree","Woman","White"
"25-34","education (higher education)","OUTREACH SPECIALIST","related to international development & research",53000,NA,NA,"","","UNITED STATES","Arizona","PHOENIX","2 - 4 years","2 - 4 years","College degree","Woman","White"
"25-34","art and design","GRAPHIC DESIGNER","",41600,NA,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years",NA,"Some college","Non-binary","White"
"35-44","engineering or manufacturing","SENIOR QUALITY MANAGER","",131600,10000,NA,"","","UNITED STATES","Connecticut","MIDDLETOWN","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"45-54","accounting, banking and finance","DEVOPS LEAD","Community lead, Evangelist",120000,NA,NA,"","","AUSTRIA",NA,"VIENNA","21 - 30 years","5-7 years","Master's degree","Man","White"
"25-34","accounting, banking and finance","ECONOMIST","",50000,8000,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","2 - 4 years","2 - 4 years","Master's degree","Man","White"
"25-34","computing or tech","PROJECT COORDINATOR","",57000,0,NA,"","","UNITED STATES","California","SACRAMENTO","8 - 10 years",NA,"College degree","Woman","White"
"18-24","market research","SENIOR DATA ANALYST","",21000,0,NA,"","","UNITED KINGDOM/UK",NA,"NEWCASTLE","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"35-44","computing or tech","STAFF SOFTWARE ENGINEER","At my company this is a level between Senior and Principal.",172000,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","11 - 20 years","College degree","Man","White"
"35-44","computing or tech","IT SERVICE MANAGER","",36027,6500,NA,"","","UNITED KINGDOM/UK",NA,"WFH JOB LOCATED IN NEWPORT, SOUTH WALES","11 - 20 years","11 - 20 years","College degree","Man","White"
"25-34","health care","LAB SUPERVISOR","",96000,40000,NA,"","","UNITED STATES","Wisconsin","MADISON","8 - 10 years",NA,"Master's degree","Woman","White"
"45-54","accounting, banking and finance","SR FINANCIAL ANALYST","",93000,NA,NA,"","","UNITED STATES","New York","ROCHESTER","21 - 30 years","21 - 30 years","College degree","Woman","White"
"45-54","property or construction","OFFICE MANAGER","",49920,NA,NA,"","","UNITED STATES","Tennessee","NASHVILLE","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","medical research","BIOINFORMATICIAN","",483600,1000,NA,"","","SWEDEN",NA,"UPPSALA","5-7 years","2 - 4 years","PhD","Man","Another option not listed here or prefer not to answer"
"25-34","accounting, banking and finance","PROJECT FINANCE MANAGER","Project finance for renewable energy projects ",142000,28500,NA,"","","UNITED STATES","Massachusetts","BOSTON","5-7 years","5-7 years","Master's degree","Woman","Asian or Asian American"
"25-34","computing or tech","CONTINUOUS PROCESS IMPROVEMENT MANAGER","1 Direct report. Small computer manufacturing line.",67000,0,NA,"","","UNITED STATES","Connecticut","MONROE","8 - 10 years","5-7 years","College degree","Man","White"
"35-44","law","PERSONAL ASSISTANT","Some EA duties, some legal assistant duties, sometimes I just go out and get lunch",61000,NA,NA,"","9.5% of my income goes into superannuation, the Australian version of a 401K","AUSTRALIA",NA,"MELBOURNE, VICTORIA","11 - 20 years",NA,"College degree","Woman","White"
"25-34","education (primary/secondary)","PROJECT MANAGER","",32400,700,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","5-7 years","2 - 4 years","College degree","Woman","Hispanic, Latino, or Spanish origin"
"25-34","education (primary/secondary)","HEAD'S PA","",35000,0,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"45-54","computing or tech","TECHNOLOGY DIRECTOR","",105000,25000,NA,"","","UNITED KINGDOM/UK",NA,"CAMBRIDGE","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"25-34","health care","PHARMACIST","",99800,0,NA,"","on top of this, work directly pays my rent","NEW ZEALAND",NA,"RURAL","5-7 years","5-7 years","College degree","Woman","White"
"25-34","education (higher education)","GLOBAL TRANSCRIPT EVALUATOR","I evaluate international credentials to determine US degree equivalency for admissions purposes.",48818,5000,NA,"","Yearly bonus, not guaranteed, amount varies","UNITED STATES","Utah","OGDEN - BUT I WORK REMOTE COMPANY IS BASED IN MD","2 - 4 years","2 - 4 years","Master's degree","Woman","Black or African American"
"25-34","health care","PSYCHOLOGIST","",87500,10000,NA,"","","UNITED STATES","District of Columbia","DC","5-7 years","2 - 4 years","PhD","Woman","Hispanic, Latino, or Spanish origin"
"35-44","government and public administration","LEAD CATALOGER","Head of Cataloging, Public Library",51000,NA,NA,"","","UNITED STATES","Missouri","KANSAS CITY","11 - 20 years",NA,"Master's degree","Woman","White"
"18-24","education (higher education)","ADMINISTRATIVE ASSISTANT","",27000,NA,NA,"","","UNITED STATES","Pennsylvania","ST DAVIDS","2 - 4 years","2 - 4 years","College degree","Woman","White"
